type,name,notice,furigana
燃やさないごみ,IHクッキングヒーター,,あ
燃やさないごみ,ＩＣレコーダー,,あ
燃やさないごみ,アイスピック,先端部を紙で包み「危険」と表示して他のごみと分ける,あ
燃やさないごみ,アイロン,,あ
燃やさないごみ,アイロン台（７０㎝超）,,あ
燃やさないごみ,アコーディオンカーテン（７０㎝以下）,,あ
燃やさないごみ,足こぎ四輪車（幼児用）（金属製または電動製）,,あ
燃やさないごみ,アダプター（各種電気製品用）,,あ
燃やさないごみ,雨どい,,あ
燃やさないごみ,編み機,,あ
燃やさないごみ,網戸（金属以外）,増改築に伴うものは請け負った業者に処分してもらう,あ
燃やさないごみ,網戸（金属製）,増改築に伴うものは請け負った業者に処分してもらう,あ
燃やさないごみ,アルミサッシ,増改築に伴うものは請け負った業者に処分してもらう,あ
燃やさないごみ,アルミホイール（自動車用）,タイヤは市で収集しません,あ
燃やさないごみ,泡立て器（電動式・手動式）,,あ
燃やさないごみ,安全ピン（金属製）,,あ
燃やさないごみ,アンテナ（テレビ・BS・CSなど）,,あ
燃やさないごみ,アンプ,,あ
燃やさないごみ,ＥＴＣ車載ユニット,,い
燃やさないごみ,衣装掛け（金属製）,,い
燃やさないごみ,衣装ケース（金属製）,,い
燃やさないごみ,いす（金属製）,,い
燃やさないごみ,板ガラス,,い
燃やさないごみ,板きれ（７０㎝超）,増改築に伴うものは請け負った業者に処分してもらう,い
燃やさないごみ,一輪車,「不用品」と必ず表示,い
燃やさないごみ,衣類乾燥機台,,い
燃やさないごみ,インテリアライト（「金属以外、７０㎝超」以外）,電球等は外す,い
燃やさないごみ,ウインドファン（７０㎝以下）,窓用エアコンではありません,う
燃やさないごみ,植木台（金属以外・７０㎝超）,,う
燃やさないごみ,植木台（金属製）,,う
燃やさないごみ,植木鉢（陶器製）,,う
燃やさないごみ,ウォーキングマシン（「金属以外、７０㎝超」以外）,,う
燃やさないごみ,ウォシュレット,増改築に伴うものは請け負った業者に処分してもらう,う
燃やさないごみ,浮き輪（７０㎝超）,空気を抜いて,う
燃やさないごみ,臼,,う
燃やさないごみ,乳母車（７０㎝以下）,全体の８０％以上金属のものは、埋立ごみの日の金属へ,う
燃やさないごみ,梅酒（自家製）のびん,,う
燃やさないごみ,運搬用一輪車,,う
燃やさないごみ,ＡＣアダプタ,,え
燃やさないごみ,ＭＤプレーヤー,,え
燃やさないごみ,枝きれ（７０㎝超）,ひもでしばって束ねて１回３束程度を目安に・多い場合は有料戸別収集で,え
